id,type,value
M247,meta,True
I250,input,1
M248,meta,False
I251,input,0
M249,meta,False
MM82,meta-meta,False
I252,input,1
M250,meta,True
I253,input,1
M251,meta,True
I254,input,0
M252,meta,True
MM83,meta-meta,True
I255,input,0
M253,meta,True
I256,input,0
M254,meta,True
I257,input,0
M255,meta,True
MM84,meta-meta,True
I258,input,1
M256,meta,False
I259,input,0
M257,meta,False
I260,input,1
M258,meta,True
MM85,meta-meta,False
I261,input,0
M259,meta,True
I262,input,0
M260,meta,True
I263,input,1
M261,meta,False
MM86,meta-meta,True
I264,input,0
M262,meta,False
I265,input,1
M263,meta,True
I266,input,0
M264,meta,True
MM87,meta-meta,True
I267,input,0
M265,meta,True
I268,input,1
M266,meta,False
I269,input,1
M267,meta,True
MM88,meta-meta,True
I270,input,0
M268,meta,False
I271,input,0
M269,meta,True
I272,input,0
M270,meta,True
MM89,meta-meta,True
I273,input,0
M271,meta,True
I274,input,1
M272,meta,True
I275,input,1
M273,meta,True
MM90,meta-meta,True
I276,input,0
M274,meta,True
I277,input,0
M275,meta,True
I278,input,0
M276,meta,True
MM91,meta-meta,True
I279,input,0
M277,meta,True
I280,input,0
M278,meta,True
I281,input,1
M279,meta,False
MM92,meta-meta,True
I282,input,0
M280,meta,False
I283,input,0
M281,meta,True
I284,input,1
M282,meta,True
MM93,meta-meta,True
I285,input,0
M283,meta,True
I286,input,0
M284,meta,True
I287,input,1
M285,meta,False
MM94,meta-meta,True
I288,input,1
M286,meta,True
I289,input,0
M287,meta,False
I290,input,1
M288,meta,True
MM95,meta-meta,True
I291,input,1
M289,meta,True
I292,input,1
M290,meta,True
I293,input,0
M291,meta,True
MM96,meta-meta,True
I294,input,1
M292,meta,False
I295,input,0
M293,meta,False
I296,input,1
M294,meta,True
MM97,meta-meta,False
I297,input,1
M295,meta,True
I298,input,1
M296,meta,True
I299,input,0
M297,meta,True
MM98,meta-meta,True
I300,input,0
M298,meta,True
I301,input,0
M299,meta,True
I302,input,0
M300,meta,True
MM99,meta-meta,True
I303,input,0
M301,meta,True
I304,input,0
M302,meta,True
I305,input,0
M303,meta,True
MM100,meta-meta,True
I306,input,0
M304,meta,True
I307,input,1
M305,meta,False
I308,input,0
M306,meta,False
MM101,meta-meta,False
I309,input,1
M307,meta,True
I310,input,1
M308,meta,True
I311,input,1
M309,meta,True
MM102,meta-meta,True
I312,input,1
M310,meta,True
I313,input,1
M311,meta,True
I314,input,0
M312,meta,True
MM103,meta-meta,True
I315,input,1
M313,meta,False
I316,input,1
M314,meta,True
I317,input,0
M315,meta,False
MM104,meta-meta,False
I318,input,1
M316,meta,True
I319,input,0
M317,meta,True
I320,input,0
M318,meta,True
MM105,meta-meta,True
I321,input,0
M319,meta,True
I322,input,0
M320,meta,True
I323,input,1
M321,meta,False
MM106,meta-meta,True
I324,input,0
M322,meta,False
I325,input,0
M323,meta,True
I326,input,0
M324,meta,True
MM107,meta-meta,True
I327,input,1
M325,meta,True
I328,input,1
M326,meta,True
I329,input,0
M327,meta,True
MM108,meta-meta,True
I330,input,1
M328,meta,False
I331,input,0
M329,meta,False
I332,input,0
M330,meta,True
MM109,meta-meta,False
I333,input,0
M331,meta,True
I334,input,0
M332,meta,True
I335,input,1
M333,meta,True
MM110,meta-meta,True
